episode_id,show_type,campaign,arc,episode_number,title,airdate,vod_url,wiki_url,runtime,watched,notes,has_cooldown,cooldown_date
Main Campaign|Campaign Two: The Mighty Nein|57|In Love and War,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,57,In Love and War,2019-04-04,https://www.youtube.com/watch?v=fUfCP184L0I,https://criticalrole.fandom.com/wiki/In_Love_and_War,3:45:14,False,,False,
Talk Show|Talks Machina|106|In Love and War,Talk Show,Talks Machina,,106,In Love and War,2019-04-09,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/VlD0LBWmols,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_106,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|33|Monk (Quick Build),Webseries,Handbooker Helper,,33,Monk (Quick Build),2019-04-10,https://youtu.be/4ATXsErMpHQ,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Webseries|Pub Draw|12|Draw Gilmore with Matt!,Webseries,Pub Draw,,12,Draw Gilmore with Matt!,2019-04-10,https://youtu.be/FTcrogoB-rQ,https://criticalrole.fandom.com/wiki/Pub_Draw,,False,Art tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|58|Wood and Steel,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,58,Wood and Steel,2019-04-11,https://www.youtube.com/watch?v=7Z610fSoifk,https://criticalrole.fandom.com/wiki/Wood_and_Steel,3:48:19,False,,False,
Webseries|Yee-Haw Game Ranch|4|New Super Mario Bros. U Deluxe,Webseries,Yee-Haw Game Ranch,,4,New Super Mario Bros. U Deluxe,2019-04-11,https://archive.org/details/travis-yee-haw-game-ranch/S1E4,https://criticalrole.fandom.com/wiki/Yee-Haw_Game_Ranch,,False,,False,
Talk Show|Talks Machina|107|Wood and Steel,Talk Show,Talks Machina,,107,Wood and Steel,2019-04-16,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/jQbo3G_uD_w,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_107,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|34|Tiefling (Quick Build),Webseries,Handbooker Helper,,34,Tiefling (Quick Build),2019-04-17,https://youtu.be/eRQcA-dJ82o,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|59|Perspective,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,59,Perspective,2019-04-18,https://www.youtube.com/watch?v=-qveongNOUI,https://criticalrole.fandom.com/wiki/Perspective,3:56:05,False,,False,
Talk Show|Talks Machina|108|Perspective,Talk Show,Talks Machina,,108,Perspective,2019-04-23,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/vE1nSdHkK4E,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_108,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|35|Human (Quick Build),Webseries,Handbooker Helper,,35,Human (Quick Build),2019-04-24,https://youtu.be/Q8D-cB2-XHo,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|60|A Turtle By Any Other Name,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,60,A Turtle By Any Other Name,2019-04-25,https://www.youtube.com/watch?v=yJgaEh_GZ6M,https://criticalrole.fandom.com/wiki/A_Turtle_By_Any_Other_Name,3:56:01,False,,False,
Talk Show|Talks Machina|109|A Turtle By Any Other Name,Talk Show,Talks Machina,,109,A Turtle By Any Other Name,2019-04-30,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/cuHnQfEdDH4,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_109,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|36|Elf (Quick Build),Webseries,Handbooker Helper,,36,Elf (Quick Build),2019-05-01,https://youtu.be/wVhthZ4a0t0,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|61|Agreements,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,61,Agreements,2019-05-02,https://www.youtube.com/watch?v=Ck_yuplT8O8,https://criticalrole.fandom.com/wiki/Agreements,3:26:38,False,,False,
Webseries|Yee-Haw Game Ranch|5|Portal 2,Webseries,Yee-Haw Game Ranch,,5,Portal 2,2019-05-02,https://archive.org/details/travis-yee-haw-game-ranch/S1E5,https://criticalrole.fandom.com/wiki/Yee-Haw_Game_Ranch,,False,,False,
Webseries|Between the Sheets|12|ND Stevenson,Webseries,Between the Sheets,,12,ND Stevenson,2019-05-06,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/iEfmqxkHDig,https://criticalrole.fandom.com/wiki/Between_the_Sheets,,False,Hosted by Brian Wayne Foster,False,
Talk Show|Talks Machina|110|Agreements,Talk Show,Talks Machina,,110,Agreements,2019-05-07,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/Wfqm5SXRNbI,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_110,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|37|Halfling (Quick Build),Webseries,Handbooker Helper,,37,Halfling (Quick Build),2019-05-08,https://youtu.be/Zol3XT0gMDs,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|62|Domestic Respite,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,62,Domestic Respite,2019-05-09,https://www.youtube.com/watch?v=-EfuYx_YWC8,https://criticalrole.fandom.com/wiki/Domestic_Respite,3:58:57,False,,False,
Talk Show|Talks Machina|111|Domestic Respite,Talk Show,Talks Machina,,111,Domestic Respite,2019-05-14,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/mqLHs__ckwI,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_111,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|38|Dragonborn (Quick Build),Webseries,Handbooker Helper,,38,Dragonborn (Quick Build),2019-05-15,https://youtu.be/VvtQeeLAKeA,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|63|Intervention,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,63,Intervention,2019-05-16,https://www.youtube.com/watch?v=CQWv6zQZTGo,https://criticalrole.fandom.com/wiki/Intervention,3:53:17,False,,False,
Webseries|Yee-Haw Game Ranch|6|Saints Row IV,Webseries,Yee-Haw Game Ranch,,6,Saints Row IV,2019-05-16,https://archive.org/details/travis-yee-haw-game-ranch/S1E6,https://criticalrole.fandom.com/wiki/Yee-Haw_Game_Ranch,,False,,False,
Talk Show|Talks Machina|112|Intervention,Talk Show,Talks Machina,,112,Intervention,2019-05-21,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/8RwnQMg4ITQ,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_112,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|39|Gnome (Quick Build),Webseries,Handbooker Helper,,39,Gnome (Quick Build),2019-05-22,https://youtu.be/Qky3ZqepvvU,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|64|A Dangerous Chase,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,64,A Dangerous Chase,2019-05-23,https://www.youtube.com/watch?v=3yfLht7w7Yk,https://criticalrole.fandom.com/wiki/A_Dangerous_Chase,3:28:57,False,,False,
Special|Specials|C2E63b|Stephen Colbert's D&D Adventure with Matthew Mercer,Special,Specials,,C2E63b,Stephen Colbert's D&D Adventure with Matthew Mercer,2019-05-23,https://youtu.be/3658C2y4LlA,https://criticalrole.fandom.com/wiki/Stephen_Colbert%27s_D%26D_Adventure_with_Matthew_Mercer,0:52:31,False,,False,
Talk Show|Talks Machina|113|A Dangerous Chase,Talk Show,Talks Machina,,113,A Dangerous Chase,2019-05-28,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/zHlEwihWaHo,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_113,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|40|Half-Elf (Quick Build),Webseries,Handbooker Helper,,40,Half-Elf (Quick Build),2019-05-29,https://youtu.be/WNK0V07hwj0,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|65|Chases and Trees,Main Campaign,Campaign Two: The Mighty Nein,Arc 3: The Bright Queen's Favor,65,Chases and Trees,2019-05-30,https://www.youtube.com/watch?v=HNODkS9gZmM,https://criticalrole.fandom.com/wiki/Chases_and_Trees,3:56:27,False,,False,
Webseries|Yee-Haw Game Ranch|7|Overcooked!,Webseries,Yee-Haw Game Ranch,,7,Overcooked!,2019-05-30,https://archive.org/details/travis-yee-haw-game-ranch/S1E7,https://criticalrole.fandom.com/wiki/Yee-Haw_Game_Ranch,,False,,False,
