episode_id,show_type,campaign,arc,episode_number,title,airdate,vod_url,wiki_url,runtime,watched,notes,has_cooldown,cooldown_date
Main Campaign|Campaign One: Vox Machina|1|Arrival at Kraghammer,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,1,Arrival at Kraghammer,2015-03-12,https://www.youtube.com/watch?v=i-p9lWIhcLQ,https://criticalrole.fandom.com/wiki/Arrival_at_Kraghammer,3:03:07,False,,False,
Main Campaign|Campaign One: Vox Machina|2|Into the Greyspine Mines,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,2,Into the Greyspine Mines,2015-03-19,https://www.youtube.com/watch?v=JTie0S_5gjE,https://criticalrole.fandom.com/wiki/Into_the_Greyspine_Mines,3:19:40,False,,False,
Main Campaign|Campaign One: Vox Machina|3|Strange Bedfellows,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,3,Strange Bedfellows,2015-03-26,https://www.youtube.com/watch?v=kpkCcb--r90,https://criticalrole.fandom.com/wiki/Strange_Bedfellows,2:36:16,False,,False,
Main Campaign|Campaign One: Vox Machina|4|Attack on the Duergar Warcamp,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,4,Attack on the Duergar Warcamp,2015-04-02,https://www.youtube.com/watch?v=kGxiZNbjwGI,https://criticalrole.fandom.com/wiki/Attack_on_the_Duergar_Warcamp,4:42:42,False,,False,
Main Campaign|Campaign One: Vox Machina|5|The Trick about Falling,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,5,The Trick about Falling,2015-04-09,https://www.youtube.com/watch?v=u6QpXDL7E8Y,https://criticalrole.fandom.com/wiki/The_Trick_about_Falling,3:09:41,False,,False,
Main Campaign|Campaign One: Vox Machina|6|Breaching the Emberhold,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,6,Breaching the Emberhold,2015-04-16,https://www.youtube.com/watch?v=cemCmD27Rnc,https://criticalrole.fandom.com/wiki/Breaching_the_Emberhold,2:57:00,False,,False,
Main Campaign|Campaign One: Vox Machina|7|The Throne Room,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,7,The Throne Room,2015-04-23,https://www.youtube.com/watch?v=XGs3bOX4XFQ,https://criticalrole.fandom.com/wiki/The_Throne_Room,3:58:41,False,,False,
Main Campaign|Campaign One: Vox Machina|8|Glass and Bone,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,8,Glass and Bone,2015-04-30,https://www.youtube.com/watch?v=A14MzQxxdwM,https://criticalrole.fandom.com/wiki/Glass_and_Bone,3:01:25,False,,False,
Main Campaign|Campaign One: Vox Machina|9|Yug'Voril Uncovered,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,9,Yug'Voril Uncovered,2015-05-07,https://www.youtube.com/watch?v=IsLIiKFSJLQ,https://criticalrole.fandom.com/wiki/Yug%27Voril_Uncovered,3:05:52,False,,False,
Main Campaign|Campaign One: Vox Machina|10|K'Varn Revealed,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,10,K'Varn Revealed,2015-05-14,https://www.youtube.com/watch?v=AvnaMU7Dr-E,https://criticalrole.fandom.com/wiki/K%27Varn_Revealed,4:38:34,False,,False,
Main Campaign|Campaign One: Vox Machina|11|The Temple Showdown,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,11,The Temple Showdown,2015-05-21,https://www.youtube.com/watch?v=xoYyHYsl5po,https://criticalrole.fandom.com/wiki/The_Temple_Showdown,5:32:34,False,,False,
Main Campaign|Campaign One: Vox Machina|12|Dungeons & Dragons Campaign Tips,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,12,Dungeons & Dragons Campaign Tips,2015-05-28,https://www.youtube.com/watch?v=P8EcS0WYbuc,https://criticalrole.fandom.com/wiki/Dungeons_%26_Dragons_Campaign_Tips,3:37:00,False,,False,
Main Campaign|Campaign One: Vox Machina|13|Escape from the Underdark,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,13,Escape from the Underdark,2015-06-04,https://www.youtube.com/watch?v=315mZGX-mjs,https://criticalrole.fandom.com/wiki/Escape_from_the_Underdark,3:28:37,False,,False,
Main Campaign|Campaign One: Vox Machina|14|Shopping and Shipping,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,14,Shopping and Shipping,2015-06-11,https://www.youtube.com/watch?v=Z4tjssfei5E,https://criticalrole.fandom.com/wiki/Shopping_and_Shipping,3:21:14,False,,False,
Main Campaign|Campaign One: Vox Machina|15|Skyward,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,15,Skyward,2015-06-25,https://www.youtube.com/watch?v=_dIBh0dGhzI,https://criticalrole.fandom.com/wiki/Skyward,4:09:01,False,,False,
Main Campaign|Campaign One: Vox Machina|16|Enter Vasselheim,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,16,Enter Vasselheim,2015-07-02,https://www.youtube.com/watch?v=elarLmuDtzU,https://criticalrole.fandom.com/wiki/Enter_Vasselheim,2:57:38,False,,False,
Special|Specials|C1E16a|How to Score a Massive Hit,Special,Specials,,C1E16a,How to Score a Massive Hit,2015-07-09,https://youtu.be/dmVRd-sTxm4,https://criticalrole.fandom.com/wiki/How_to_Score_a_Massive_Hit,0:50:59,False,,False,
Main Campaign|Campaign One: Vox Machina|17|Hubris,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,17,Hubris,2015-07-23,https://www.youtube.com/watch?v=QDdT5UqGaDw,https://criticalrole.fandom.com/wiki/Hubris,4:05:43,False,,False,
Main Campaign|Campaign One: Vox Machina|18|Trial of the Take: Part 1,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,18,Trial of the Take: Part 1,2015-07-30,https://www.youtube.com/watch?v=60sUkTh6xBc,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_1,3:01:59,False,,False,
Main Campaign|Campaign One: Vox Machina|19|Trial of the Take: Part 2,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,19,Trial of the Take: Part 2,2015-08-06,https://www.youtube.com/watch?v=IW6GgFQg3kk,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_2,4:43:04,False,,False,
Main Campaign|Campaign One: Vox Machina|20|Trial of the Take: Part 3,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,20,Trial of the Take: Part 3,2015-08-13,https://www.youtube.com/watch?v=GFU_qqwSs0U,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_3,3:14:44,False,,False,
Main Campaign|Campaign One: Vox Machina|21|Trial of the Take: Part 4,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,21,Trial of the Take: Part 4,2015-08-20,https://www.youtube.com/watch?v=zGaISHs2s7Q,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_4,4:44:19,False,,False,
Main Campaign|Campaign One: Vox Machina|22|Aramente to Pyrah,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,22,Aramente to Pyrah,2015-08-27,https://www.youtube.com/watch?v=1GY3HTZE5R0,https://criticalrole.fandom.com/wiki/Aramente_to_Pyrah,4:40:27,False,,False,
Main Campaign|Campaign One: Vox Machina|23|The Rematch,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,23,The Rematch,2015-09-10,https://www.youtube.com/watch?v=FM6L4tuyXq0,https://criticalrole.fandom.com/wiki/The_Rematch,3:52:17,False,,False,
Main Campaign|Campaign One: Vox Machina|24|The Feast,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,24,The Feast,2015-09-17,https://www.youtube.com/watch?v=kre27f30IVs,https://criticalrole.fandom.com/wiki/The_Feast,3:56:02,False,,False,
Main Campaign|Campaign One: Vox Machina|25|Crimson Diplomacy,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,25,Crimson Diplomacy,2015-09-24,https://www.youtube.com/watch?v=yrrB_q-V8G0,https://criticalrole.fandom.com/wiki/Crimson_Diplomacy,3:47:12,False,,False,
Main Campaign|Campaign One: Vox Machina|26|Consequences and Cows,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,26,Consequences and Cows,2015-10-01,https://www.youtube.com/watch?v=_2CCQnD4AQ8,https://criticalrole.fandom.com/wiki/Consequences_and_Cows,4:41:18,False,,False,
Special|Specials|C1E26a|Critical Trolls for Extra Life,Special,Specials,,C1E26a,Critical Trolls for Extra Life,2015-10-03,https://youtu.be/EjimabBvZgw,https://criticalrole.fandom.com/wiki/Critical_Trolls_for_Extra_Life,3:08:23,False,,False,
Main Campaign|Campaign One: Vox Machina|27|The Path to Whitestone,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,27,The Path to Whitestone,2015-10-08,https://www.youtube.com/watch?v=2mB-aM2bIBk,https://criticalrole.fandom.com/wiki/The_Path_to_Whitestone,3:34:00,False,,False,
Main Campaign|Campaign One: Vox Machina|28|The Sun Tree,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,28,The Sun Tree,2015-10-15,https://www.youtube.com/watch?v=yE27NwtXjPY,https://criticalrole.fandom.com/wiki/The_Sun_Tree_(episode),3:08:00,False,,False,
Special|Specials|C1E28a|D&Diesel,Special,Specials,,C1E28a,D&Diesel,2015-10-19,https://youtu.be/yLEMb_RIZ3o,https://criticalrole.fandom.com/wiki/D%26Diesel,0:29:45,False,,False,
Main Campaign|Campaign One: Vox Machina|29|Whispers,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,29,Whispers,2015-10-22,https://www.youtube.com/watch?v=gq4av949-3Y,https://criticalrole.fandom.com/wiki/Whispers,4:04:00,False,,False,
Main Campaign|Campaign One: Vox Machina|30|Stoke the Flames,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,30,Stoke the Flames,2015-10-29,https://www.youtube.com/watch?v=MtS1LGdqxuI,https://criticalrole.fandom.com/wiki/Stoke_the_Flames,3:15:00,False,,False,
Main Campaign|Campaign One: Vox Machina|31|Gunpowder Plot,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,31,Gunpowder Plot,2015-11-05,https://www.youtube.com/watch?v=CVSgD1iB1G0,https://criticalrole.fandom.com/wiki/Gunpowder_Plot,3:15:57,False,,False,
Special|Specials|C1E31a|November 2015 Critmas,Special,Specials,,C1E31a,November 2015 Critmas,2015-11-05,https://youtu.be/hWDvXAyud6A,https://criticalrole.fandom.com/wiki/November_2015_Critmas,1:28:57,False,,False,
Main Campaign|Campaign One: Vox Machina|32|Against the Tide of Bone,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,32,Against the Tide of Bone,2015-11-12,https://www.youtube.com/watch?v=B5sUXSaTHKc,https://criticalrole.fandom.com/wiki/Against_the_Tide_of_Bone,3:36:29,False,,False,
Main Campaign|Campaign One: Vox Machina|33|Reunions,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,33,Reunions,2015-11-19,https://www.youtube.com/watch?v=EtdswJtQ_Ew,https://criticalrole.fandom.com/wiki/Reunions,4:24:22,False,,False,
Main Campaign|Campaign One: Vox Machina|34|Race to the Ziggurat,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,34,Race to the Ziggurat,2015-12-03,https://www.youtube.com/watch?v=2AqLu-u-GcY,https://criticalrole.fandom.com/wiki/Race_to_the_Ziggurat,4:41:33,False,,False,
Main Campaign|Campaign One: Vox Machina|35|Denouement,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,35,Denouement,2015-12-10,https://www.youtube.com/watch?v=p8p5qZcqIk0,https://criticalrole.fandom.com/wiki/Denouement,3:14:56,False,,False,
Special|Specials|C1E35a|December 2015 Critmas,Special,Specials,,C1E35a,December 2015 Critmas,2015-12-10,https://youtu.be/dW7NORnIFTI,https://criticalrole.fandom.com/wiki/December_2015_Critmas,1:50:55,False,,False,
Main Campaign|Campaign One: Vox Machina|36|Winter's Crest in Whitestone,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,36,Winter's Crest in Whitestone,2015-12-17,https://www.youtube.com/watch?v=EikRMYRf5-Y,https://criticalrole.fandom.com/wiki/Winter%27s_Crest_in_Whitestone,2:48:24,False,,False,
Special|Specials|C1E36a|The Story of Vox Machina,Special,Specials,,C1E36a,The Story of Vox Machina,2016-01-06,https://youtu.be/B8BBzQ5ZDFg,https://criticalrole.fandom.com/wiki/The_Story_of_Vox_Machina,0:21:44,False,,False,
Main Campaign|Campaign One: Vox Machina|37|A Musician's Nostalgia,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,37,A Musician's Nostalgia,2016-01-07,https://www.youtube.com/watch?v=1cbxJRfvBtI,https://criticalrole.fandom.com/wiki/A_Musician%27s_Nostalgia,4:23:28,False,,False,
Webseries|Game Master Tips|1|Building RPG Encounters,Webseries,Game Master Tips,,1,Building RPG Encounters,2016-01-09,https://youtu.be/6XikjjQok5Y,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Main Campaign|Campaign One: Vox Machina|38|Echoes of the Past,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,38,Echoes of the Past,2016-01-14,https://www.youtube.com/watch?v=wCj4kCq1Z9Y,https://criticalrole.fandom.com/wiki/Echoes_of_the_Past,4:21:56,False,,False,
Main Campaign|Campaign One: Vox Machina|39|Omens,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,39,Omens,2016-01-21,https://www.youtube.com/watch?v=9EToAf4nhDw,https://criticalrole.fandom.com/wiki/Omens,3:55:51,False,,False,
Webseries|Game Master Tips|2|Creating Non-Player Characters,Webseries,Game Master Tips,,2,Creating Non-Player Characters,2016-01-26,https://youtu.be/-UA5eajTRIA,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Main Campaign|Campaign One: Vox Machina|40|Desperate Measures,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,40,Desperate Measures,2016-01-28,https://www.youtube.com/watch?v=0W_by9hT6VQ,https://criticalrole.fandom.com/wiki/Desperate_Measures,3:01:47,False,,False,
Webseries|Game Master Tips|3|Preparing for the Unexpected,Webseries,Game Master Tips,,3,Preparing for the Unexpected,2016-02-02,https://youtu.be/K0SjRJNENME,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Main Campaign|Campaign One: Vox Machina|41|In Ruins,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,41,In Ruins,2016-02-04,https://www.youtube.com/watch?v=L8xSI6QoT-A,https://criticalrole.fandom.com/wiki/In_Ruins,4:32:41,False,,False,
Webseries|Game Master Tips|4|Social & Non-combat Encounters,Webseries,Game Master Tips,,4,Social & Non-combat Encounters,2016-02-09,https://youtu.be/GNoR-CcOtqI,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Main Campaign|Campaign One: Vox Machina|42|Dangerous Dealings,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,42,Dangerous Dealings,2016-02-11,https://www.youtube.com/watch?v=qWoloOxtvc0,https://criticalrole.fandom.com/wiki/Dangerous_Dealings,3:38:50,False,,False,
Webseries|Game Master Tips|5|The Rule of Cool,Webseries,Game Master Tips,,5,The Rule of Cool,2016-02-16,https://youtu.be/fWZDuFIYkf0,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Main Campaign|Campaign One: Vox Machina|43|Return to Vasselheim,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,43,Return to Vasselheim,2016-02-18,https://www.youtube.com/watch?v=zr2n1fLVasU,https://criticalrole.fandom.com/wiki/Return_to_Vasselheim,3:44:33,False,,False,
Special|Specials|C1E43a|Wizard World Gaming Portland Panel,Special,Specials,,C1E43a,Wizard World Gaming Portland Panel,2016-02-20,https://youtu.be/RoehFB52mq4,https://criticalrole.fandom.com/wiki/Wizard_World_Gaming_Portland_Panel,1:08:36,False,,False,
Webseries|Game Master Tips|6|RPG Etiquette,Webseries,Game Master Tips,,6,RPG Etiquette,2016-02-23,https://youtu.be/_9X2Tz7QegM,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Special|Specials|C1E43b|Critical Role Q&A and Battle Royale!,Special,Specials,,C1E43b,Critical Role Q&A and Battle Royale!,2016-02-25,https://youtu.be/YrT0KQlWqU4,https://criticalrole.fandom.com/wiki/Critical_Role_Q%26A_and_Battle_Royale!,3:41:10,False,,False,
Webseries|Game Master Tips|7|Rewarding Your Players,Webseries,Game Master Tips,,7,Rewarding Your Players,2016-03-01,https://youtu.be/6EhHdS--HBM,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Webseries|Game Master Tips|8|Frequently Asked Questions,Webseries,Game Master Tips,,8,Frequently Asked Questions,2016-03-08,https://youtu.be/oYM73cG-9CM,https://criticalrole.fandom.com/wiki/Game_Master_Tips_with_Matt_Mercer,,False,GM advice series with Matt Mercer,False,
Main Campaign|Campaign One: Vox Machina|44|The Sunken Tomb,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,44,The Sunken Tomb,2016-03-10,https://www.youtube.com/watch?v=KHsA0R_GovU,https://criticalrole.fandom.com/wiki/The_Sunken_Tomb,4:55:26,False,,False,
Main Campaign|Campaign One: Vox Machina|45|Those Who Walk Away,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,45,Those Who Walk Away,2016-03-17,https://www.youtube.com/watch?v=0uazTyTrk-8,https://criticalrole.fandom.com/wiki/Those_Who_Walk_Away,3:03:24,False,,False,
Main Campaign|Campaign One: Vox Machina|46|Cindergrove Revisited,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,46,Cindergrove Revisited,2016-03-24,https://www.youtube.com/watch?v=uw1crQ1d9AU,https://criticalrole.fandom.com/wiki/Cindergrove_Revisited,3:23:03,False,,False,
Main Campaign|Campaign One: Vox Machina|47|The Family Business,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,47,The Family Business,2016-03-31,https://www.youtube.com/watch?v=QqU5pqKoH2c,https://criticalrole.fandom.com/wiki/The_Family_Business,3:00:33,False,,False,
Main Campaign|Campaign One: Vox Machina|48|Into the Frostweald,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,48,Into the Frostweald,2016-04-07,https://www.youtube.com/watch?v=1uMH-hFJz0Q,https://criticalrole.fandom.com/wiki/Into_the_Frostweald,3:24:37,False,,False,
Main Campaign|Campaign One: Vox Machina|49|A Name Is Earned,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,49,A Name Is Earned,2016-04-14,https://www.youtube.com/watch?v=PfvVssT83MU,https://criticalrole.fandom.com/wiki/A_Name_Is_Earned,4:51:32,False,,False,
Special|Specials|C1E49a|To the Poop! Goblins: A Critical Role Pathfinder One-Shot,Special,Specials,,C1E49a,To the Poop! Goblins: A Critical Role Pathfinder One-Shot,2016-04-18,https://youtu.be/u8MRyyFDX3c,https://criticalrole.fandom.com/wiki/To_the_Poop!_Goblins:_A_Critical_Role_Pathfinder_One-Shot,3:32:01,False,,False,
Main Campaign|Campaign One: Vox Machina|50|Best Laid Plans...,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,50,Best Laid Plans...,2016-04-21,https://www.youtube.com/watch?v=W4e4gTmoGi4,https://criticalrole.fandom.com/wiki/Best_Laid_Plans...,3:05:00,False,,False,
Main Campaign|Campaign One: Vox Machina|51|Test of Pride,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,51,Test of Pride,2016-04-28,https://www.youtube.com/watch?v=9g3cnEacrEo,https://criticalrole.fandom.com/wiki/Test_of_Pride,2:54:25,False,,False,
Main Campaign|Campaign One: Vox Machina|52|The Kill Box,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,52,The Kill Box,2016-05-05,https://www.youtube.com/watch?v=9QXZ4LfSi84,https://criticalrole.fandom.com/wiki/The_Kill_Box,3:19:27,False,,False,
"Main Campaign|Campaign One: Vox Machina|53|At Dawn, We Plan!",Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,53,"At Dawn, We Plan!",2016-05-12,https://www.youtube.com/watch?v=Nfcja-6hr24,"https://criticalrole.fandom.com/wiki/At_Dawn,_We_Plan!",3:37:36,False,,False,
Main Campaign|Campaign One: Vox Machina|54|In the Belly of the Beast,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,54,In the Belly of the Beast,2016-05-19,https://www.youtube.com/watch?v=9QRg2YEkVLU,https://criticalrole.fandom.com/wiki/In_the_Belly_of_the_Beast,4:26:47,False,,False,
Special|Specials|C1E54a|Critical Role Q&A and Battle Royale: Take II,Special,Specials,,C1E54a,Critical Role Q&A and Battle Royale: Take II,2016-05-26,https://youtu.be/4FI8qB-yh-w,https://criticalrole.fandom.com/wiki/Critical_Role_Q%26A_and_Battle_Royale:_Take_II,4:30:59,False,,False,
Main Campaign|Campaign One: Vox Machina|55|Umbrasyl,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,55,Umbrasyl,2016-06-02,https://www.youtube.com/watch?v=A6ma5W_TSDE,https://criticalrole.fandom.com/wiki/Umbrasyl_(episode),4:16:57,False,,False,
Main Campaign|Campaign One: Vox Machina|56|Hope,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,56,Hope,2016-06-09,https://www.youtube.com/watch?v=8xpnCiF4im0,https://criticalrole.fandom.com/wiki/Hope,3:53:14,False,,False,
Main Campaign|Campaign One: Vox Machina|57|Duskmeadow,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,57,Duskmeadow,2016-06-16,https://www.youtube.com/watch?v=HMBS__TC5R4,https://criticalrole.fandom.com/wiki/Duskmeadow_(episode),3:45:52,False,,False,
Main Campaign|Campaign One: Vox Machina|58|A Cycle of Vengeance,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,58,A Cycle of Vengeance,2016-06-23,https://www.youtube.com/watch?v=nRBzpiPccOs,https://criticalrole.fandom.com/wiki/A_Cycle_of_Vengeance,3:42:51,False,,False,
Special|Specials|C1E58a|Deadlands One-Shot for MDA Charity!,Special,Specials,,C1E58a,Deadlands One-Shot for MDA Charity!,2016-06-25,https://youtu.be/q0hjGf2bK08,https://criticalrole.fandom.com/wiki/Deadlands_One-Shot_for_MDA_Charity!,2:50:47,False,,False,
Special|Specials|C1E58b|Critical Role EXTRA – Liam's Quest!,Special,Specials,,C1E58b,Critical Role EXTRA – Liam's Quest!,2016-06-30,https://youtu.be/7Tdl6GhiSI8,https://criticalrole.fandom.com/wiki/Critical_Role_EXTRA_%E2%80%93_Liam%27s_Quest!,3:12:05,False,,False,
Main Campaign|Campaign One: Vox Machina|59|The Feywild,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,59,The Feywild,2016-07-07,https://www.youtube.com/watch?v=l_jwMsIv1oc,https://criticalrole.fandom.com/wiki/The_Feywild,3:08:33,False,,False,
Main Campaign|Campaign One: Vox Machina|60|Heredity and Hats,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,60,Heredity and Hats,2016-07-14,https://www.youtube.com/watch?v=Ok4ZW9cNupc,https://criticalrole.fandom.com/wiki/Heredity_and_Hats,2:42:35,False,,False,
Special|Specials|C1E60a|Critical Role's 'The Dating Game' Panel – SDCC 2016,Special,Specials,,C1E60a,Critical Role's 'The Dating Game' Panel – SDCC 2016,2016-07-23,https://youtu.be/7z-9HhOKQW4,https://criticalrole.fandom.com/wiki/Critical_Role%27s_%27The_Dating_Game%27_Panel_%E2%80%93_SDCC_2016,0:53:43,False,,False,
Special|Specials|C1E60b|Critical Role Answers Your Questions at SDCC!,Special,Specials,,C1E60b,Critical Role Answers Your Questions at SDCC!,2016-07-23,https://youtu.be/41ZUKFGwVOM,https://criticalrole.fandom.com/wiki/Critical_Role_Answers_Your_Questions_at_SDCC!,0:42:07,False,,False,
Main Campaign|Campaign One: Vox Machina|61|Denizens of the Moonbrush,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,61,Denizens of the Moonbrush,2016-07-28,https://www.youtube.com/watch?v=QKaubU-lk04,https://criticalrole.fandom.com/wiki/Denizens_of_the_Moonbrush,4:01:21,False,,False,
Main Campaign|Campaign One: Vox Machina|62|Uninviting Waters,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,62,Uninviting Waters,2016-08-06,https://www.youtube.com/watch?v=QePayxU0kKo,https://criticalrole.fandom.com/wiki/Uninviting_Waters,2:59:40,False,,False,
Main Campaign|Campaign One: Vox Machina|63|The Echo Tree,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,63,The Echo Tree,2016-08-11,https://www.youtube.com/watch?v=OS5aMcxkldI,https://criticalrole.fandom.com/wiki/The_Echo_Tree,4:10:14,False,,False,
Main Campaign|Campaign One: Vox Machina|64|The Frigid Doom,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,64,The Frigid Doom,2016-08-18,https://www.youtube.com/watch?v=yqJdHshftrs,https://criticalrole.fandom.com/wiki/The_Frigid_Doom,3:58:37,False,,False,
Main Campaign|Campaign One: Vox Machina|65|The Streets of Ank'Harel,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,65,The Streets of Ank'Harel,2016-08-25,https://www.youtube.com/watch?v=6-Od2lnsiHs,https://criticalrole.fandom.com/wiki/The_Streets_of_Ank%27Harel,4:19:47,False,,False,
Special|Specials|C1E65a|Critical Role Extra – The Return of Liam!,Special,Specials,,C1E65a,Critical Role Extra – The Return of Liam!,2016-09-01,https://youtu.be/LgHm3Ct0Zh0,https://criticalrole.fandom.com/wiki/Critical_Role_Extra_%E2%80%93_The_Return_of_Liam!,4:55:47,False,,False,
Main Campaign|Campaign One: Vox Machina|66|A Traveler's Gamble,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,66,A Traveler's Gamble,2016-09-08,https://www.youtube.com/watch?v=jgmBV5NA2A8,https://criticalrole.fandom.com/wiki/A_Traveler%27s_Gamble,4:17:28,False,,False,
Main Campaign|Campaign One: Vox Machina|67|The Chase to Glintshore,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,67,The Chase to Glintshore,2016-09-15,https://www.youtube.com/watch?v=Z7ozVxDtJzM,https://criticalrole.fandom.com/wiki/The_Chase_to_Glintshore,3:43:09,False,,False,
Main Campaign|Campaign One: Vox Machina|68|Cloak and Dagger,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,68,Cloak and Dagger,2016-09-22,https://www.youtube.com/watch?v=RCnwjLK_ZuQ,https://criticalrole.fandom.com/wiki/Cloak_and_Dagger,4:34:22,False,,False,
Main Campaign|Campaign One: Vox Machina|69|Passed Through Fire,Main Campaign,Campaign One: Vox Machina,Arc 3: The Chroma Conclave,69,Passed Through Fire,2016-09-29,https://www.youtube.com/watch?v=YLcRhm8UP8g,https://criticalrole.fandom.com/wiki/Passed_Through_Fire,2:58:27,False,,False,
